coffee_id,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method
14,United States (Hawaii),arianna farms,,,,,2000,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,Sept 2009 - April 2010,May 31 2010,grounds for health admin,,,
15,Ethiopia,aolme,,c.p.w.e,010/0338,,1635,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,Mar-10,August 31 2010,ethiopia commodity exchange,,,
16,United States,el águila,,,unknown,coffee quality institute,2080,antioquia,María Leticia Diosa,10,1 kg,Almacafé,2014,March 13 2015,cqi q coffee sample representative,Other,,Washed / Wet
17,Indonesia,toarco jaya,,,,,1500,sulawesi,P.T. Toarco Jaya,1,"2 kg,lbs",Specialty Coffee Association,May-August,May 31 2010,grounds for health admin,,,
18,Ethiopia,,,,010/0056,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,June 16 2010,ethiopia commodity exchange,,,
19,China,echo coffee,YNC-06114,echo coffee mill,,yunnan coffee exchange,1450,yunnan,Echo Coffee,3,60 kg,Yunnan Coffee Exchange,2015,April 7 2016,yunnan coffee exchange,Catimor,,Washed / Wet
20,Ethiopia,drima zede,,drima zede,100181006,essence coffee,1850,gedio,LevelUp,250,60 kg,Blossom Valley International,2014,March 25 2015,essencecoffee,Ethiopian Yirgacheffe,,Natural / Dry
21,United States,el rodeo,,,unknown,coffee quality institute,2019,antioquia,Nicolás Rueda Urrego,10,1 kg,Almacafé,2014,March 13 2015,cqi q coffee sample representative,Other,,Washed / Wet
22,Costa Rica,several,,cafe altura de san ramon,5-562-0015,the coffee source inc.,1300,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,April 2 2014,the coffee source inc.,Caturra,,Washed / Wet
23,Mexico,la herradura,,la herradura,0,,1320,xalapa,ROBERTO LICONA FRANCO,14,1 kg,AMECAFE,2012,July 26 2012,roberto licona franco,Other,,Washed / Wet
24,United States,la curva,,,unknown,coffee quality institute,2112,antioquia,Silvia Elena Higuita,10,1 kg,Almacafé,2014,March 13 2015,cqi q coffee sample representative,Other,,Washed / Wet
25,Ethiopia,,,,,,,sidamo,,100,60 kg,Specialty Coffee Institute of Asia,2013,September 3 2013,ji-ae ahn,,,Natural / Dry
26,Brazil,fazenda kaquend,,,002/1251/0073,nucoffee,1250,south of minas,Ralph Junqueira,3,60 kg,NUCOFFEE,2011,December 3 2011,nucoffee,Bourbon,,Natural / Dry
27,Ethiopia,,,,010/0056/Sidamo,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,June 16 2010,ethiopia commodity exchange,,,
28,Uganda,chebonet (23) women coffee,,kabum trading company,0,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60 kg,Uganda Coffee Development Authority,2013,June 26 2014,kabum trading company,SL14,,Washed / Wet
29,Honduras,los hicaques,102,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2016,May 18 2017,bismarck castro,Caturra,,
30,Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50 kg,Specialty Coffee Association,2015,May 18 2016,"lin, che-hao krude 林哲豪",Sumatra,,Pulped natural / honey
31,Nicaragua,,,beneficio atlantic condega,790-0013,,,,,275,6,Specialty Coffee Association,,May 18 2010,nora zeas,,,
32,"Tanzania, United Republic Of",,,,A019116,,,,,100,60 kg,Specialty Coffee Institute of Asia,2012,September 3 2013,specialty coffee-korea,,,Natural / Dry
33,Brazil,fazenda recreio,,,002/1251/0068,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,29,60 kg,NUCOFFEE,2011,December 3 2011,nucoffee,Bourbon,,Natural / Dry
34,Costa Rica,exclusive coffees s.a.,,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,250,2 lbs,Specialty Coffee Association of Costa Rica,2015/2016,December 3 2015,francisco a mena,Caturra,,Washed / Wet
35,Ethiopia,haider abamecha coffee plantation,,faysal abamecha processing plant at yebu town,2014/15,haider abamecha coffee export,1775,oromia,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development plc,2014,March 27 2015,hider abamecha,,,Natural / Dry
36,Kenya,kangunu,,central kenya coffee mills,0,c dorman ltd,1800,muranga,Kangunu,320,1 kg,Kenya Coffee Traders Association,2013,May 30 2014,daniel magu,SL34,,Washed / Wet
37,United States (Hawaii),,,,220452,kona pacific farmers cooperative,,kona,,10,100 lbs,Specialty Coffee Association,2012,April 6 2012,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
38,United States (Hawaii),kona pacific farmers cooperative,,,HDOA 210128 Kona Fancy,,,kona,Kona Pacific Farmers Co-Op,25,100 lbs,Specialty Coffee Association,2010,January 28 2011,kona pacific farmers cooperative,,,
39,Ethiopia,"phone number | 0911-51-08-01, email | at",,,010/0170,,,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009/2010,June 17 2010,ethiopia commodity exchange,,,
40,United States,la primavera,,,unknown,coffee quality institute,1941,antioquia,Hugo Sepúlveda Montoya,10,1 kg,Almacafé,2014,March 13 2015,cqi q coffee sample representative,Other,,Washed / Wet
41,Thailand,co-op #12,,,01-011-512,lanna cafe,1300,chiang rai,ITDP,53,1 kg,Specialty Coffee Association,2012,April 12 2012,itdp international,Caturra,,Washed / Wet
42,Brazil,pereira estate coffee,,cocarive,002/1352/0045,,1200,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,January 4 2011,jacques pereira carneiro,Yellow Bourbon,,
43,Brazil,pereira estate coffee,,cocarive,002/1352/0045,,1200,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,January 4 2011,jacques pereira carneiro,Yellow Bourbon,,
44,Taiwan,sunshine valley estate 向陽高山咖啡,,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000,natou county,LIN YEN CHIEN 林言謙,10,15 kg,Specialty Coffee Association,2015,June 10 2015,"lin, che-hao krude 林哲豪",Bourbon,,Semi-washed / Semi-pulped
45,Kenya,jungle estate,,nkg coffee mills,NIL,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Association,2014,January 29 2015,jungle estate,SL28,,Natural / Dry
46,Brazil,fazenda kaquend,,,002/1251/0071,nucoffee,1250,south of minas,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,December 3 2011,nucoffee,Bourbon,,Semi-washed / Semi-pulped
47,Uganda,kaasayi,,great lakes coffee,0,ucda,,eastern uganda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Authority,2014,October 1 2014,great lakes coffee uganda,,,Semi-washed / Semi-pulped
48,Colombia,ecobio colombia,,,NONE,lusso coffee lab,1200,tolima,,1,2 kg,Specialty Coffee Association,2013,March 20 2014,lusso lab,Caturra,,Washed / Wet
49,Kenya,kianjavi,,,NONE,lusso coffee lab,1860,kiambu,,1,1 kg,Specialty Coffee Association,2013,February 6 2014,lusso lab,SL28,,Washed / Wet
50,Uganda,,,,x,kawacom uganda ltd,1650,"sipi, mt elgon",Kawacom,1,60 kg,Africa Fine Coffee Association,2012,February 13 2012,afca,Other,,Washed / Wet
51,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1750,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,June 17 2010,ethiopia commodity exchange,,,
52,United States (Hawaii),hula daddy kona coffee,,,,,427,kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,May 31 2010,grounds for health admin,,,
53,Guatemala,la esperanza y anexos,11/23/0252,beneficio ixchel,11/23/0252,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del Café,2016,May 16 2016,juan luis alvarado romero,Bourbon,,Washed / Wet
54,Uganda,sipi organic coffee project,,kawacom,0,kawacom uganda ltd,1650,eastern,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Authority,2013,June 30 2014,kawacom uganda ltd,SL14,,Natural / Dry
55,Colombia,,,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1800,huila,,275,70 kg,Almacafé,2013,July 26 2013,exportadora de cafe condor s.a,Caturra,,Washed / Wet
56,Panama,la berlina estate,Baby Geisha Washed,beneficio casa ruiz s.a.,,ce specialty s.a.,1600,boquete,Plinio Ruiz,37,60 kg,Specialty Coffee Association of Costa Rica,2017,October 9 2017,gonzalo hernandez,Gesha,,Washed / Wet
57,Ethiopia,,,burka gudina,2014/2015,ibrahim hussien specality coffee product & exporter,1900,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,METAD Agricultural Development plc,2014,April 4 2015,ibrahim hussien speciality coffee producer &export,,,Washed / Wet
58,Guatemala,valparaiso,,beneficio valparaiso,11/1886/03,sertrasa,1524,acatenango,SERTRASA,150,1 kg,Asociacion Nacional Del Café,2012,July 3 2012,juan luis alvarado romero,Bourbon,,Washed / Wet
59,Guatemala,finca el limon,,beneficio serben,11-853-155,unicafe,1417,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del Café,2012,June 5 2012,juan luis alvarado romero,Catuai,,Washed / Wet
60,Ethiopia,seid damtew coffee planation,320,seid damtew coffee export and plantation,490,seid damtew coffee planation,,addis ababa,seid damtew coffee export and plantation,320,19200 kg,METAD Agricultural Development plc,2017,June 23 2017,seid damtew coffee planataion,Caturra,,Natural / Dry
61,Peru,,,,030-0537-2066,sustainable harvest,,cajamarca,,280,5 lbs,Specialty Coffee Association,2013,January 22 2014,dane loraas,,,Washed / Wet
62,Papua New Guinea,tairora cherry – bonta,,baroida,25072012,cqi,1700,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60 kg,Specialty Coffee Association,2012,October 25 2012,"colbran coffeelands, ltd.",,,Washed / Wet
63,El Salvador,el majahual,,j. hill y cia,09 – 060-24,atlantic specialty coffee,1500,apaneca,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,March 18 2013,atlantic specialty coffee,Bourbon,,Washed / Wet
64,El Salvador,finca la esmeralda,,"aqua caliente, j.j. borja nathan. s.a",,lusso coffee lab,1350,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,Specialty Coffee Association,2012,January 12 2013,lusso lab,Bourbon,,Semi-washed / Semi-pulped
65,United States (Hawaii),,,,220451,kona pacific farmers cooperative,,kona,,8,100 lbs,Specialty Coffee Association,2012,April 6 2012,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
66,Panama,elida estate,,elida estate,290503,essence coffee,1680,boquete,Lamastus,100,60 kg,Blossom Valley International,2014,May 23 2015,essencecoffee,Caturra,,Natural / Dry
67,Kenya,inoi,,inoi,3707361715,essence coffee,1900,kirinyaga,,16,60 kg,Blossom Valley International,2014,May 23 2015,essencecoffee,SL28,,Natural / Dry
68,Ethiopia,,,,2015,assefa belay coffee producer,1900,oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,March 31 2015,assefa belay coffee producer,Other,,Natural / Dry
69,Uganda,buginyanya,,kyagalanyi coffee ltd,0,kyagalanyi coffee ltd,1600,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60 kg,Uganda Coffee Development Authority,2013,June 26 2014,kyagalanyi ltd,SL14,,Washed / Wet
70,Guatemala,asoperc,,beneficio exportacafe agua santa,11-52-492,exportcafe,1731,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69 kg,Asociacion Nacional Del Café,2013,February 26 2013,juan luis alvarado romero,Bourbon,,Washed / Wet
71,Ethiopia,,,,2015,assefa belay coffee producer,1900,oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,March 31 2015,assefa belay coffee producer,,,Washed / Wet
72,Uganda,chesiyo farmer group,,great lakes coffee,0,great lakes coffee,1950,kapchorwa,Chesiyo Farmer group,150,60 kg,Uganda Coffee Development Authority,2013,June 26 2014,great lakes coffee uganda,SL14,,Washed / Wet
73,United States (Hawaii),,,,220453,kona pacific farmers cooperative,,kona,,8,100 lbs,Specialty Coffee Association,2012,April 6 2012,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
74,Brazil,fazenda serra de três barras,,,002/1251/0072,nucoffee,1250,south of minas,José Vagner Ribeiro Junqueira,5,60 kg,NUCOFFEE,2011,December 3 2011,nucoffee,Bourbon,,Semi-washed / Semi-pulped
75,El Salvador,sierra nevada,,beneficio las tres puertas,9-060-60D-L-1D,,1400,apaneca,J. Hill y Cia SA de CV,2,"1 kg,lbs",Specialty Coffee Association,2009 / 2010,May 31 2010,grounds for health admin,,,
76,China,pu'er city longke coffee co.ltd,YNC-16115,pu'er city longke coffee co.ltd,,yunnan coffee exchange,1700,yunnan,Pu'er City Longke Coffee Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,April 6 2016,yunnan coffee exchange,Catimor,,Natural / Dry
77,Guatemala,el injerto s.a.,,el injerto s.a.,11999144,essence coffee,1770,huehuetenango,Arturo Aguirre,36,30 kg,Blossom Valley International,2014,May 23 2015,essencecoffee,Pacamara,,Natural / Dry
78,Costa Rica,several,,cafe altura de san ramon,5-562-0006,the coffee source inc.,1300,west valley,Cafe Altura de San Ramon,250,3 lbs,Specialty Coffee Association,2014,May 1 2014,the coffee source inc.,Caturra,,Washed / Wet
79,Costa Rica,several,,cafe altura de san ramon,5-562-0016,the coffee source inc.,1300,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,May 1 2014,the coffee source inc.,Caturra,,Washed / Wet
80,Kenya,,,,37/672/0017,rashid moledina & co. (msa) ltd,1600,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60 kg,Kenya Coffee Traders Association,2012,April 19 2013,rashid moledina & co. (msa) ltd.,SL34,,Washed / Wet
81,Kenya,,,nkg/ck/hc/ss/kccm,37/00597/0252 - AB FAQ Q certified,ibero kenya limited,1200,central kenya,Blend from various Producers,300,60 kg,Kenya Coffee Traders Association,2012,March 12 2013,ibero kenya limited,SL34,,Washed / Wet
82,Ethiopia,phone number | 0911-513824 email: gmt.ft,,,010/0157,,,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6 kg,Ethiopia Commodity Exchange,2009/2010,June 17 2010,ethiopia commodity exchange,,,
83,Ethiopia,,,,010/0001/0022,,,yirgacheffe,Contact name | Hailu Gebre Hiwot,300,6,Ethiopia Commodity Exchange,2009/2010,June 17 2010,ethiopia commodity exchange,Typica,,
84,Guatemala,la esperanza y anexos,11/23/0177,beneficio ixchel,11/23/0177,"unex guatemala, s.a.",,oriente,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del Café,2016,April 27 2016,juan luis alvarado romero,Bourbon,,
85,Colombia,various,,trilladora agricola,3-68-0102,exportadora de cafe condor s.a,1550,santander,varios,275,70 kg,Almacafé,2015,April 8 2015,exportadora de cafe condor s.a,Caturra,,Washed / Wet
86,Colombia,,,trilladora boananza,3-79-0634,ecom cca sa,1550,santander,,250,70 kg,Almacafé,2014,January 17 2014,compañia colombiana agroindustrial s.a,Caturra,,Natural / Dry
87,Indonesia,,,,,"nomura trading co., ltd.",1325,lintong,,54,60 kg,Specialty Coffee Association,2012,November 26 2012,"nomura trading co., ltd.",Sumatra Lintong,,Semi-washed / Semi-pulped
88,Guatemala,coop. hoja blanca - fedecocagua,,coop. hoja blanca - fedecocagua,11-30-0593,the coffee source inc.,1400,huehuetenango,Coop. Hoja Blanca - Fedecocagua,250,1 kg,Specialty Coffee Association,2012,January 18 2012,the coffee source inc.,Caturra,,Washed / Wet
89,Ethiopia,seid damtew coffee planation,,at site and addis ababa,495,seid damtew coffee planation,,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,320,19200 kg,METAD Agricultural Development plc,2016,August 9 2016,seid damtew coffee planataion,Other,,Natural / Dry
90,Colombia,,,pasto,3-59-3115,carcafe ltda,2560,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,250,70 kg,Almacafé,2015,August 18 2015,carcafe ltda ci,Caturra,,Natural / Dry
91,Ethiopia,aricha coop,,aricha coop,,the specialty coffee appraisers institute of asia,1700,aricha,BNT,100,60 kg,Specialty Coffee Association,2014,October 7 2014,steven kil,,,Natural / Dry
92,United States (Hawaii),,,,KP 022014,kona pacific farmers cooperative,,kona,,12,100 lbs,Specialty Coffee Association,2014,March 10 2014,eileen koyanagi,Hawaiian Kona,,Natural / Dry
93,Colombia,,,,3-59-0951,carcafe ltda,2136,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,250,70 kg,Almacafé,2012,March 16 2012,carcafe ltda ci,Caturra,,Natural / Dry
94,United States (Hawaii),,,,,,,kona,Kona Pacific Farmers Cooperative,13,100 lbs,Specialty Coffee Association,2010-2011,December 27 2010,kona pacific farmers cooperative,,,
95,Ethiopia,,,,010/0058/Sidamo,,,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,360,6,Ethiopia Commodity Exchange,2010,June 17 2010,ethiopia commodity exchange,,,
96,United States (Hawaii),kona pacific farmers cooperative,,kona pacific farmers cooperative,HDOA 210310,,,kona,,27,0 lbs,Specialty Coffee Association,,May 17 2010,kona pacific farmers cooperative,,,
97,Uganda,mount elgon area,6133,kyagalanyi coffee ltd,,kyagalanyi coffee ltd,1800,eastern uganda,Kyagalanyi Coffee Ltd,200,60 kg,Uganda Coffee Development Authority,2016,July 24 2017,kyagalanyi coffee ltd,SL14,,Washed / Wet
98,Colombia,,3-37-1829,bachue,3-37-1829,racafe & cia s.c.a,,huila,La Plata,135,70 kg,Almacafé,2016,February 15 2017,racafe & cia s.c.a,Caturra,,Washed / Wet
99,Costa Rica,estate la patricia,LP-C211-180,micro beneficio la cabaña-javier meza,,bold coast coffee,1900,tarrazu,Manuel Montero,36,46 kg,Specialty Coffee Association,2016,January 30 2017,troy quimby,Catuai,,Washed / Wet
100,Mexico,various,Mezcla Veracruz 01,"cafetal el equimite, rancho agroecológico",,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",1300,veracruz,Varios productores minifundistas,1,30 kg,Centro Agroecológico del Café A.C.,2015,September 21 2016,"el equimite, cafetal biodinámico",Typica,,Washed / Wet
101,Kenya,,CN 11462 AA,ckcm,,c dorman ltd,,,,170,60 kg,Kenya Coffee Traders Association,2015,May 7 2016,simon mahinda,,,Washed / Wet
102,Kenya,machure estate,,,37/672/0016,rashid moledina & co. (msa) ltd,1580,central kenya,,38,60 kg,Kenya Coffee Traders Association,2012,April 19 2013,rashid moledina & co. (msa) ltd.,SL34,,Washed / Wet
103,Brazil,sitío são geraldo,,,002/1251/0242,nucoffee,1100,grama valley,Idalina M. De Andrade Ferreira,31,60 kg,NUCOFFEE,2012,February 29 2012,nucoffee,Mundo Novo,,Natural / Dry
104,Mexico,kassandra,,,016-2484-04,,1400,mexico,Finca Kassandra,1,1 kg,Specialty Coffee Association,2010-2011,April 6 2011,young kim,Pacamara,,
105,United States (Hawaii),kona pacific farmers cooperative,,,HDOA#210306,,,kona,,15,100 lbs,Specialty Coffee Association,,February 24 2011,kona pacific farmers cooperative,,,
106,Guatemala,la igualdad,,concepcion,11-194-0014,,1326,"chuva, san marcos",Federico Weller,275,69 kg,Specialty Coffee Association,2009/2010,September 7 2010,carl walker,,,
107,Colombia,,3-37-0277,bachue,3-37-0277,racafe & cia s.c.a,,huila,La Plata,243,70 kg,Almacafé,2016,November 25 2016,racafe & cia s.c.a,Caturra,,Washed / Wet
108,Colombia,,,,3-37-4824,racafe & cia s.c.a,1775,huila,La Plata,252,70 kg,Almacafé,2015,October 26 2015,racafe & cia s.c.a,Caturra,,Washed / Wet
109,Taiwan,baishengcun coffee 百勝村咖啡莊園,,baishengcun coffee 百勝村咖啡莊園,Taiwan,taiwan coffee laboratory,800,natou county,SU CHUEN SHIAN 蘇春賢,20,40 kg,Specialty Coffee Association,2015,June 9 2015,"lin, che-hao krude 林哲豪",Typica,,Semi-washed / Semi-pulped
110,"Tanzania, United Republic Of",hasambo amcos,,taylor winch (t) ltd,C47,taylor winch (t) ltd,1620,mbeya,Hasambo AMCOS,134,60 kg,Africa Fine Coffee Association,2014,December 12 2014,taylor winch (t) ltd,Other,,Washed / Wet
111,Colombia,,,,3-37-0416,racafe & cia s.c.a,1775,huila,LA PLATA,50,70 kg,Almacafé,2012,December 11 2012,racafe & cia s.c.a,Caturra,,Washed / Wet
112,Mexico,el suspiro,,pacho viejo,1104385872,,1200,coatepec,ARTEMIO ZAPATA TEJEDA,25,1 kg,AMECAFE,2012,July 11 2012,artemio zapata tejeda,Typica,,Semi-washed / Semi-pulped
113,Brazil,fazenda grota funda,,,002/1251/0070,nucoffee,1200,south of minas,Glaucio Carneiro Pinto,4,60 kg,NUCOFFEE,2011,December 23 2011,nucoffee,Bourbon,,Natural / Dry
114,Brazil,sitio claro,,,002/1251/0066,nucoffee,1000,south of minas,Ricardo Luiz Ferreira,10,60 kg,NUCOFFEE,2011,December 3 2011,nucoffee,Catuai,,Natural / Dry
115,Kenya,,,,37/00395/0335,,,,,320,60 kg,Specialty Coffee Association,2009-2010,August 26 2010,brian speckman,,,
116,Taiwan,shi fang yuan 十方源,2016 Tainan Coffee Cupping Event Micro Lot 臺南市咖啡評鑑批次,shi fang yuan 十方源,Taiwan,taiwan coffee laboratory,350,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,10,20 kg,Specialty Coffee Association,2016,May 18 2016,"lin, che-hao krude 林哲豪",Typica,,Natural / Dry
117,Uganda,mt.elgon bugisu shamba 2,,kawacom,0,kawacom uganda ltd,1650,eastern,Sipi organic coffee project,1,60 kg,Uganda Coffee Development Authority,2013,June 30 2014,kawacom uganda ltd,SL14,,Natural / Dry
118,United States (Hawaii),,,,220457,kona pacific farmers cooperative,,kona,,14,100 lbs,Specialty Coffee Association,2012,April 6 2012,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
119,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1750,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,June 17 2010,ethiopia commodity exchange,,,
120,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1750,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,June 17 2010,philip schluter,,,
121,Thailand,matsuzawa coffee,MCTFHMG15/16,matsuzawa coffee,,matsuzawa coffee,,thailand,Matsuzawa Coffee,50,50 kg,Specialty Coffee Institute of Asia,2015,June 27 2016,松澤宏樹 koju matsuzawa,Caturra,,Pulped natural / honey
122,Kenya,karatina,,sagana,KE 9143,c dorman ltd,1800,nyeri,KARATINA,150,60 kg,Kenya Coffee Traders Association,2014,June 2 2015,lydiah mwangi,SL34,,Washed / Wet
123,Honduras,cerro bueno,,cadexsa,13-63-174,cadexsa,1450,marcala,Omar Acosta,275,1 kg,Instituto Hondureño del Café,2014,April 25 2014,cadexsa,Catuai,,Washed / Wet
124,El Salvador,several,,la majada cooperative,9-29-1986,,1200,santa ana,Several producers,250,69 kg,Specialty Coffee Association,2010-2011,August 23 2011,the coffee source inc.,,,
125,Nicaragua,santa martha,,beneficio atlantic sebaco,1-053-0222,,925,jinotega,Juan Alvaro Munguia,2,6,Specialty Coffee Association,2009 - 2010,May 31 2010,grounds for health admin,,,
126,El Salvador,monterrey,Jan-71,j.j. borja nathan,09-392-69,cafetalera del pacifico,1350,apaneca,J.J. Borja Nathan,150,69 kg,Salvadoran Coffee Council,2016,June 26 2017,consejo salvadoreño del café,Bourbon,,Washed / Wet
127,Indonesia,sran temanggung plantation,1,wet hulling,,pt. shriya artha nusantara,1200,"temanggung, indonesia",PT. Shriya Artha Nusantara,2,1 kg,Specialty Coffee Association of Indonesia,2016,November 24 2016,sanjava coffee,Java,,Washed / Wet
128,Japan,ada farm,MCRKPBG 15/16,ada farm,,matsuzawa coffee,170,ada okinawa japan,Taijiro TOKUDA,20,1 kg,Specialty Coffee Institute of Asia,,November 2 2016,松澤宏樹 koju matsuzawa,Mundo Novo,,Pulped natural / honey
